page,src,declared_width,declared_height,alt_text,full_tag
/,"https://plomeroculiacanpro.mx/img/reparacion-fugas.png",1024,1536,"Reparación de fugas","<img src=""/img/reparacion-fugas.png""
                                 srcset=""/img/reparacion-fugas...."
/,"https://plomeroculiacanpro.mx/img/destapandodrenaje.png",1024,1536,"Destape de drenaje","<img src=""/img/destapandodrenaje.png""
                                 srcset=""/img/destapandodrenaj..."
/,"https://plomeroculiacanpro.mx/img/taza-de-baño.png",1024,1536,"Instalación y cambio de sanitarios","<img src=""/img/taza-de-baño.png""
                                 srcset=""/img/taza-de-baño-mobile.p..."
/,"https://plomeroculiacanpro.mx/img/arreglando-boiler.png",1024,1536,"Mantenimiento de boiler","<img src=""/img/arreglando-boiler.png""
                                 srcset=""/img/arreglando-boile..."
/,"https://plomeroculiacanpro.mx/img/reivicion-bajapresion.png",1024,1536,"Revisión y corrección de baja presión","<img src=""/img/reivicion-bajapresion.png""
                                 srcset=""/img/reivicion-ba..."
/,"https://plomeroculiacanpro.mx/img/tinaco.png",1024,1536,"Detección de Fugas","<img src=""/img/tinaco.png""
                                 srcset=""/img/tinaco-mobile.png 600w, /im..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/plomerofregadero.png",0,0,"Reparación de fugas","<img src=""../../../img/plomerofregadero.png"" alt=""Reparación de fugas"">..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/destapandodrenaje.png",0,0,"Destape de drenaje","<img src=""../../../img/destapandodrenaje.png"" alt=""Destape de drenaje"">..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/taza-de-baño.png",0,0,"Instalación y cambio de sanitarios","<img src=""../../../img/taza-de-baño.png"" alt=""Instalación y cambio de sanitarios"">..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/arreglando-boiler.png",0,0,"Mantenimiento de boiler","<img src=""../../../img/arreglando-boiler.png"" alt=""Mantenimiento de boiler"">..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/reivicion-bajapresion.png",0,0,"Revisión y corrección de baja presión","<img src=""../../../img/reivicion-bajapresion.png"" alt=""Revisión y corrección de baja presión"">..."
/servicios/plomero/cerca-de-mi/,"https://plomeroculiacanpro.mx/../../../img/tinaco.png",0,0,"Detección de Fugas","<img src=""../../../img/tinaco.png"" alt=""Detección de Fugas"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/plomerofregadero.png",0,0,"Reparación de fugas a domicilio","<img src=""../../../img/plomerofregadero.png"" alt=""Reparación de fugas a domicilio"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/destapandodrenaje.png",0,0,"Destape de drenajes a domicilio","<img src=""../../../img/destapandodrenaje.png"" alt=""Destape de drenajes a domicilio"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/taza-de-baño.png",0,0,"Instalación de sanitarios a domicilio","<img src=""../../../img/taza-de-baño.png"" alt=""Instalación de sanitarios a domicilio"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/arreglando-boiler.png",0,0,"Reparación de boiler a domicilio","<img src=""../../../img/arreglando-boiler.png"" alt=""Reparación de boiler a domicilio"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/reivicion-bajapresion.png",0,0,"Corrección de baja presión a domicilio","<img src=""../../../img/reivicion-bajapresion.png"" alt=""Corrección de baja presión a domicilio"">..."
/servicios/plomero/a-domicilio/,"https://plomeroculiacanpro.mx/../../../img/tinaco.png",0,0,"Detección de fugas a domicilio","<img src=""../../../img/tinaco.png"" alt=""Detección de fugas a domicilio"">..."
